Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,38,3
3/13/2020,222,61,43,5
3/14/2020,295,73,48,5
3/15/2020,363,68,53,5
3/16/2020,513,150,56,3
3/17/2020,762,249,64,8
3/18/2020,1021,259,71,7
3/19/2020,1299,278,77,6
3/20/2020,1687,388,87,10
3/21/2020,2008,321,97,10
3/22/2020,2294,286,101,4
3/23/2020,2903,609,112,11
3/24/2020,3622,719,122,10
3/25/2020,4368,746,133,11
3/26/2020,5304,936,137,4
3/27/2020,6247,943,143,6
3/28/2020,6902,655,151,8
3/29/2020,7426,524,156,5
3/30/2020,8664,1238,158,2
3/31/2020,9929,1265,163,5
4/1/2020,11267,1338,170,7
4/2/2020,12546,1279,176,6
4/3/2020,14027,1481,183,7
4/4/2020,15190,1163,189,6
4/5/2020,16166,976,196,7
4/6/2020,18098,1932,202,6
4/7/2020,20122,2024,211,9
4/8/2020,21990,1868,218,7
4/9/2020,23973,1983,227,9
4/10/2020,26028,2055,235,8
4/11/2020,27325,1297,242,7
4/12/2020,28256,931,255,13
4/13/2020,30260,2004,262,7
4/14/2020,33135,2875,268,6
4/15/2020,35736,2601,282,14
4/16/2020,38125,2389,289,7
4/17/2020,41135,3010,308,19
4/18/2020,42617,1482,314,6
4/19/2020,43708,1091,317,3
4/20/2020,46407,2699,329,12
4/21/2020,48606,2199,351,22
4/22/2020,51324,2718,382,31
4/23/2020,53741,2417,409,27
4/24/2020,56023,2282,473,64
4/25/2020,57521,1498,496,23
4/26/2020,58369,848,527,31
4/27/2020,60497,2128,595,68
4/28/2020,62605,2108,658,63
4/29/2020,64791,2186,742,84
4/30/2020,66840,2049,840,98
5/1/2020,68924,2084,935,95
5/2/2020,69961,1037,996,61
5/3/2020,70696,735,1031,35
5/4/2020,72584,1888,1166,135
5/5/2020,74326,1742,1293,127
5/6/2020,76037,1711,1435,142
5/7/2020,77729,1692,1556,121
5/8/2020,79193,1464,1651,95
5/9/2020,79878,685,1685,34
5/10/2020,80264,386,1746,61
5/11/2020,81581,1317,1856,110
5/12/2020,83039,1458,1973,117
5/13/2020,84369,1330,2104,131
5/14/2020,85692,1323,2232,128
5/15/2020,86803,1111,2328,96
5/16/2020,87457,654,2366,38
5/17/2020,87829,372,2412,46
5/18/2020,89155,1326,2512,100
5/19/2020,90249,1094,2634,122
5/20/2020,91280,1031,2738,104
5/21/2020,92274,994,2875,137
5/22/2020,93149,875,2983,108
5/23/2020,93542,393,3020,37
5/24/2020,93846,304,3060,40
5/25/2020,94046,200,3118,58
5/26/2020,94932,886,3217,99
5/27/2020,95645,713,3327,110
5/28/2020,96299,654,3446,119
5/29/2020,96834,535,3538,92
5/30/2020,97109,275,3573,35
5/31/2020,97274,165,3607,34
6/1/2020,97791,517,3672,65
6/2/2020,98242,451,3724,52
6/3/2020,98718,476,3800,76
6/4/2020,99114,396,3854,54
6/5/2020,99458,344,3950,96
6/6/2020,99608,150,3980,30
6/7/2020,99759,151,4000,20
6/8/2020,100124,365,4072,72
6/9/2020,100475,351,4151,79
6/10/2020,100732,257,4248,97
6/11/2020,100962,230,4327,79
6/12/2020,101214,252,4377,50
6/13/2020,101312,98,4395,18
6/14/2020,101390,78,4418,23
6/15/2020,101634,244,4486,68
6/16/2020,101838,204,4543,57
6/17/2020,102061,223,4618,75
6/18/2020,102170,109,4677,59
6/19/2020,102228,58,4708,31
6/20/2020,102228,0,4708,0
