Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,121,38,14,,2,0,0,42,7
3/7/2020,205,84,44,,2,0,0,86,14
3/8/2020,259,54,19,,2,0,0,53,7
3/9/2020,331,72,5,,2,0,0,76,5
3/10/2020,435,104,14,,2,0,0,103,6
3/11/2020,608,173,22,,2,0,0,176,6
3/12/2020,1026,418,29,,2,0,0,426,7
3/13/2020,1964,938,61,,2,0,0,971,14
3/14/2020,2863,899,73,,2,0,0,920,15
3/15/2020,3892,1029,68,,2,0,0,1057,27
3/16/2020,6035,2143,150,,2,0,0,2217,18
3/17/2020,8713,2678,249,,2,0,0,2762,28
3/18/2020,11692,2979,259,,2,0,0,3069,157
3/19/2020,14592,2900,278,,2,0,0,2996,142
3/20/2020,18233,3641,388,,2,0,0,3752,124
3/21/2020,20765,2532,321,,2,0,0,2603,168
3/22/2020,22660,1895,286,,2,0,0,1944,158
3/23/2020,26443,3783,609,,2,0,0,3895,202
3/24/2020,30433,3990,718,,2,0,0,4114,207
3/25/2020,34531,4098,746,,2,0,0,4215,269
3/26/2020,38947,4416,936,,2,0,0,4538,299
3/27/2020,43310,4363,943,,2,0,0,4473,342
3/28/2020,46109,2799,654,,2,0,0,2870,332
3/29/2020,48177,2068,523,,2,0,0,2155,318
3/30/2020,53226,5049,1238,,2,0,0,5167,416
3/31/2020,58462,5236,1266,,2,0,0,5459,472
4/1/2020,63383,4921,1337,,2,0,0,5113,463
4/2/2020,68597,5214,1278,,5,3,1,5408,597
4/3/2020,74328,5731,1480,,5,0,0,5944,629
4/4/2020,78308,3980,1163,,9,4,1,4058,690
4/5/2020,81722,3414,977,,9,0,0,3572,539
4/6/2020,88374,6652,1932,,13,4,0,6830,783
4/7/2020,94925,6551,2022,,17,4,0,6669,965
4/8/2020,101718,6793,1863,,19,2,0,6995,972
4/9/2020,108143,6425,1978,,41,22,2,6760,1036
4/10/2020,115715,7572,2054,,42,1,1,7795,1057
4/11/2020,120072,4357,1297,,43,1,0,4500,806
4/12/2020,123095,3023,929,,46,3,2,3095,707
4/13/2020,129351,6256,2002,,54,8,0,6352,1130
4/14/2020,139085,9734,2871,,62,8,2,9858,1487
4/15/2020,148982,9897,2599,,72,10,2,10195,1458
4/16/2020,157881,8899,2389,,93,21,0,8991,1715
4/17/2020,168957,11076,3006,,173,80,5,11446,1763
4/18/2020,174974,6017,1481,,181,8,3,6345,1135
4/19/2020,179557,4583,1090,,191,10,1,4663,933
4/20/2020,190310,10753,2694,,255,64,6,11062,1909
4/21/2020,199758,9448,2194,,331,76,11,9709,2116
4/22/2020,212219,12461,2716,,478,147,17,12752,2647
4/23/2020,222992,10773,2407,,951,473,31,10881,2544
4/24/2020,235345,12353,2283,,1849,898,82,12396,2508
4/25/2020,243569,8224,1496,,2336,487,25,8430,1836
4/26/2020,248451,4882,847,,2791,455,36,4797,1410
4/27/2020,259410,10959,2130,,3934,1143,79,10862,2934
4/28/2020,271663,12253,2107,,5357,1423,83,12280,2996
4/29/2020,284281,12618,2190,,7066,1709,105,12592,2926
4/30/2020,298020,13739,2048,,8444,1378,116,13744,3134
5/1/2020,312101,14081,2084,,10221,1777,130,14004,3288
5/2/2020,319354,7253,1031,,10815,594,57,7327,1870
5/3/2020,324441,5087,735,,11219,404,42,5039,1422
5/4/2020,336508,12067,1881,,13239,2020,162,11923,3521
5/5/2020,349132,12624,1738,,15216,1977,157,12451,3565
5/6/2020,362422,13290,1700,,17196,1980,184,13078,3607
5/7/2020,375887,13465,1683,,19263,2067,173,13436,3657
5/8/2020,389182,13295,1460,,21148,1885,136,13243,3700
5/9/2020,395006,5824,684,,21777,629,38,5714,1974
5/10/2020,398166,3160,386,,22131,354,77,3083,1475
5/11/2020,409988,11822,1311,,23974,1843,162,11626,4015
