Date of Death,New Deaths,Running Total
3/18/2020,2,2
3/19/2020,1,3
3/20/2020,2,5
3/21/2020,2,7
3/22/2020,4,11
3/23/2020,6,17
3/24/2020,9,26
3/25/2020,7,33
3/26/2020,9,42
3/27/2020,15,57
3/28/2020,15,72
3/29/2020,25,97
3/30/2020,28,125
3/31/2020,28,153
4/1/2020,36,189
4/2/2020,42,231
4/3/2020,36,267
4/4/2020,37,304
4/5/2020,68,372
4/6/2020,80,452
4/7/2020,71,523
4/8/2020,100,623
4/9/2020,112,735
4/10/2020,108,843
4/11/2020,120,963
4/12/2020,113,1076
4/13/2020,162,1238
4/14/2020,121,1359
4/15/2020,175,1534
4/16/2020,173,1707
4/17/2020,170,1877
4/18/2020,167,2044
4/19/2020,175,2219
4/20/2020,172,2391
4/21/2020,161,2552
4/22/2020,152,2704
4/23/2020,189,2893
4/24/2020,195,3088
4/25/2020,148,3236
4/26/2020,153,3389
4/27/2020,159,3548
4/28/2020,143,3691
4/29/2020,162,3853
4/30/2020,140,3993
5/1/2020,176,4169
5/2/2020,139,4308
5/3/2020,137,4445
5/4/2020,132,4577
5/5/2020,136,4713
5/6/2020,136,4849
5/7/2020,129,4978
5/8/2020,109,5087
5/9/2020,104,5191
5/10/2020,122,5313
5/11/2020,122,5435
5/12/2020,111,5546
5/13/2020,110,5656
5/14/2020,94,5750
5/15/2020,112,5862
5/16/2020,86,5948
5/17/2020,79,6027
5/18/2020,89,6116
5/19/2020,69,6185
5/20/2020,77,6262
5/21/2020,67,6329
5/22/2020,56,6385
5/23/2020,23,6408
