Date,Total,New
1/29/2020,1,1
1/30/2020,1,0
1/31/2020,1,0
2/1/2020,1,0
2/2/2020,1,0
2/3/2020,1,0
2/4/2020,1,0
2/5/2020,1,0
2/6/2020,2,1
2/7/2020,2,0
2/8/2020,2,0
2/9/2020,2,0
2/10/2020,2,0
2/11/2020,2,0
2/12/2020,2,0
2/13/2020,2,0
2/14/2020,2,0
2/15/2020,2,0
2/16/2020,2,0
2/17/2020,2,0
2/18/2020,2,0
2/19/2020,2,0
2/20/2020,2,0
2/21/2020,2,0
2/22/2020,2,0
2/23/2020,2,0
2/24/2020,2,0
2/25/2020,2,0
2/26/2020,2,0
2/27/2020,2,0
2/28/2020,2,0
2/29/2020,2,0
3/1/2020,3,1
3/2/2020,3,0
3/3/2020,4,1
3/4/2020,6,2
3/5/2020,14,8
3/6/2020,27,13
3/7/2020,71,44
3/8/2020,90,19
3/9/2020,95,5
3/10/2020,109,14
3/11/2020,131,22
3/12/2020,160,29
3/13/2020,221,61
3/14/2020,294,73
3/15/2020,362,68
3/16/2020,512,150
3/17/2020,761,249
3/18/2020,1019,258
3/19/2020,1297,278
3/20/2020,1685,388
3/21/2020,2005,320
3/22/2020,2291,286
3/23/2020,2899,608
3/24/2020,3616,717
3/25/2020,4359,743
3/26/2020,5294,935
3/27/2020,6238,944
3/28/2020,6893,655
3/29/2020,7416,523
3/30/2020,8652,1236
3/31/2020,9918,1266
4/1/2020,11256,1338
4/2/2020,12537,1281
4/3/2020,14018,1481
4/4/2020,15181,1163
4/5/2020,16156,975
4/6/2020,18091,1935
4/7/2020,20125,2034
4/8/2020,21995,1870
4/9/2020,23986,1991
4/10/2020,26051,2065
4/11/2020,27351,1300
4/12/2020,28283,932
4/13/2020,30286,2003
4/14/2020,33162,2876
4/15/2020,35764,2602
4/16/2020,38152,2388
4/17/2020,41162,3010
4/18/2020,42648,1486
4/19/2020,43742,1094
4/20/2020,46440,2698
4/21/2020,48643,2203
4/22/2020,51364,2721
4/23/2020,53781,2417
4/24/2020,56059,2278
4/25/2020,57560,1501
4/26/2020,58405,845
4/27/2020,60537,2132
4/28/2020,62646,2109
4/29/2020,64832,2186
4/30/2020,66885,2053
5/1/2020,68968,2083
5/2/2020,70010,1042
5/3/2020,70741,731
5/4/2020,72625,1884
5/5/2020,74380,1755
5/6/2020,76102,1722
5/7/2020,77797,1695
5/8/2020,79276,1479
5/9/2020,79968,692
5/10/2020,80360,392
5/11/2020,81702,1342
5/12/2020,83158,1456
5/13/2020,84449,1291
5/14/2020,85746,1297
5/15/2020,86862,1116
5/16/2020,87513,651
5/17/2020,87873,360
5/18/2020,88635,762
5/19/2020,88967,332
5/20/2020,88970,3
