Date,Total,New,Positive,Missing
1/22/2020,1,1,0,
1/23/2020,2,1,0,
1/24/2020,2,0,0,
1/25/2020,2,0,0,
1/26/2020,2,0,0,
1/27/2020,3,1,0,
1/28/2020,3,0,0,
1/29/2020,4,1,1,
1/30/2020,4,0,0,
1/31/2020,4,0,0,
2/1/2020,4,0,0,
2/2/2020,4,0,0,
2/3/2020,7,3,0,
2/4/2020,9,2,0,
2/5/2020,9,0,0,
2/6/2020,10,1,1,
2/7/2020,10,0,0,
2/8/2020,11,1,0,
2/9/2020,11,0,0,
2/10/2020,11,0,0,
2/11/2020,12,1,0,
2/12/2020,13,1,0,
2/13/2020,13,0,0,
2/14/2020,13,0,0,
2/15/2020,13,0,0,
2/16/2020,13,0,0,
2/17/2020,13,0,0,
2/18/2020,13,0,0,
2/19/2020,13,0,0,
2/20/2020,13,0,0,
2/21/2020,13,0,0,
2/22/2020,13,0,0,
2/23/2020,13,0,0,
2/24/2020,13,0,0,
2/25/2020,13,0,0,
2/26/2020,13,0,0,
2/27/2020,13,0,0,
2/28/2020,14,1,0,
2/29/2020,15,1,0,
3/1/2020,17,2,1,
3/2/2020,20,3,0,
3/3/2020,34,14,1,
3/4/2020,52,18,2,
3/5/2020,84,32,8,
3/6/2020,122,38,13,
3/7/2020,206,84,44,
3/8/2020,260,54,19,
3/9/2020,333,73,5,
3/10/2020,438,105,14,
3/11/2020,612,174,22,
3/12/2020,1030,418,29,
3/13/2020,1973,943,61,
3/14/2020,2876,903,73,
3/15/2020,3912,1036,68,
3/16/2020,6066,2154,150,
3/17/2020,8758,2692,249,
3/18/2020,11758,3000,259,
3/19/2020,14667,2909,278,
3/20/2020,18322,3655,387,
3/21/2020,20862,2540,320,
3/22/2020,22764,1902,286,
3/23/2020,26565,3801,608,
3/24/2020,30580,4015,717,
3/25/2020,34692,4112,743,
3/26/2020,39127,4435,935,
3/27/2020,43516,4389,944,
3/28/2020,46327,2811,655,
3/29/2020,48411,2084,523,
3/30/2020,53485,5074,1235,
3/31/2020,58746,5261,1265,
4/1/2020,63696,4950,1338,
4/2/2020,68960,5264,1280,
4/3/2020,74762,5802,1481,
4/4/2020,78779,4017,1163,
4/5/2020,82233,3454,975,
4/6/2020,88957,6724,1934,
4/7/2020,95596,6639,2033,
4/8/2020,102459,6863,1870,
4/9/2020,108978,6519,1991,
4/10/2020,116665,7687,2064,
4/11/2020,121072,4407,1301,
4/12/2020,124202,3130,932,
4/13/2020,130587,6385,2002,
4/14/2020,140414,9827,2876,
4/15/2020,150474,10060,2602,
4/16/2020,159485,9011,2388,
4/17/2020,170760,11275,3009,
4/18/2020,176910,6150,1486,
4/19/2020,181559,4649,1096,
4/20/2020,192507,10948,2698,
4/21/2020,202098,9591,2203,
4/22/2020,214858,12760,2721,
4/23/2020,225697,10839,2420,
4/24/2020,238069,12372,2280,
4/25/2020,246495,8426,1501,
4/26/2020,251407,4912,846,
4/27/2020,262521,11114,2135,
4/28/2020,274969,12448,2109,
4/29/2020,287743,12774,2189,
4/30/2020,301602,13859,2053,
5/1/2020,315965,14363,2083,
5/2/2020,323448,7483,1043,
5/3/2020,328549,5101,734,
5/4/2020,340849,12300,1887,
5/5/2020,353616,12767,1755,
5/6/2020,367008,13392,1720,
5/7/2020,380492,13484,1695,
5/8/2020,394036,13544,1476,
5/9/2020,399899,5863,694,
5/10/2020,403113,3214,394,
5/11/2020,415004,11891,1329,
5/12/2020,428175,13171,1448,
5/13/2020,441969,13794,1325,
5/14/2020,454898,12929,1301,
5/15/2020,468361,13463,1125,
5/16/2020,475290,6929,656,
5/17/2020,479539,4249,382,115
5/18/2020,491541,12002,1181,1
5/19/2020,499246,7705,665,0
5/20/2020,501442,2196,295,0
5/21/2020,501486,44,4,0
