Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,38,3
3/13/2020,222,61,43,5
3/14/2020,295,73,48,5
3/15/2020,363,68,54,6
3/16/2020,513,150,57,3
3/17/2020,762,249,65,8
3/18/2020,1021,259,72,7
3/19/2020,1299,278,78,6
3/20/2020,1687,388,88,10
3/21/2020,2008,321,98,10
3/22/2020,2294,286,102,4
3/23/2020,2903,609,113,11
3/24/2020,3622,719,123,10
3/25/2020,4368,746,134,11
3/26/2020,5304,936,138,4
3/27/2020,6247,943,144,6
3/28/2020,6902,655,152,8
3/29/2020,7426,524,157,5
3/30/2020,8664,1238,159,2
3/31/2020,9929,1265,164,5
4/1/2020,11267,1338,170,6
4/2/2020,12546,1279,176,6
4/3/2020,14027,1481,183,7
4/4/2020,15190,1163,189,6
4/5/2020,16166,976,196,7
4/6/2020,18098,1932,202,6
4/7/2020,20122,2024,211,9
4/8/2020,21989,1867,219,8
4/9/2020,23971,1982,230,11
4/10/2020,26026,2055,238,8
4/11/2020,27323,1297,246,8
4/12/2020,28253,930,260,14
4/13/2020,30257,2004,267,7
4/14/2020,33132,2875,273,6
4/15/2020,35733,2601,287,14
4/16/2020,38122,2389,295,8
4/17/2020,41132,3010,314,19
4/18/2020,42615,1483,320,6
4/19/2020,43706,1091,324,4
4/20/2020,46405,2699,338,14
4/21/2020,48604,2199,361,23
4/22/2020,51322,2718,392,31
4/23/2020,53739,2417,418,26
4/24/2020,56021,2282,483,65
4/25/2020,57519,1498,507,24
4/26/2020,58367,848,537,30
4/27/2020,60494,2127,609,72
4/28/2020,62602,2108,673,64
4/29/2020,64788,2186,757,84
4/30/2020,66837,2049,856,99
5/1/2020,68923,2086,951,95
5/2/2020,69960,1037,1012,61
5/3/2020,70695,735,1046,34
5/4/2020,72583,1888,1180,134
5/5/2020,74324,1741,1307,127
5/6/2020,76034,1710,1449,142
5/7/2020,77726,1692,1570,121
5/8/2020,79188,1462,1664,94
5/9/2020,79872,684,1697,33
5/10/2020,80258,386,1758,61
5/11/2020,81575,1317,1868,110
5/12/2020,83036,1461,1985,117
5/13/2020,84364,1328,2116,131
5/14/2020,85687,1323,2244,128
5/15/2020,86799,1112,2340,96
5/16/2020,87453,654,2378,38
5/17/2020,87824,371,2424,46
5/18/2020,89148,1324,2524,100
5/19/2020,90238,1090,2646,122
5/20/2020,91268,1030,2750,104
5/21/2020,92260,992,2887,137
5/22/2020,93135,875,2995,108
5/23/2020,93528,393,3032,37
5/24/2020,93831,303,3072,40
5/25/2020,94031,200,3130,58
5/26/2020,94917,886,3229,99
5/27/2020,95628,711,3339,110
5/28/2020,96282,654,3458,119
5/29/2020,96816,534,3550,92
5/30/2020,97091,275,3585,35
5/31/2020,97255,164,3620,35
6/1/2020,97770,515,3685,65
6/2/2020,98218,448,3736,51
6/3/2020,98688,470,3812,76
6/4/2020,99082,394,3864,52
6/5/2020,99425,343,3961,97
6/6/2020,99573,148,3991,30
6/7/2020,99724,151,4011,20
6/8/2020,100085,361,4083,72
6/9/2020,100435,350,4162,79
6/10/2020,100689,254,4261,99
6/11/2020,100920,231,4340,79
6/12/2020,101174,254,4389,49
6/13/2020,101272,98,4407,18
6/14/2020,101349,77,4431,24
6/15/2020,101593,244,4498,67
6/16/2020,101796,203,4556,58
6/17/2020,102048,252,4637,81
6/18/2020,102285,237,4699,62
6/19/2020,102443,158,4753,54
6/20/2020,102518,75,4767,14
6/21/2020,102589,71,4786,19
6/22/2020,102785,196,4840,54
6/23/2020,102924,139,4908,68
6/24/2020,103031,107,4963,55
6/25/2020,103071,40,4996,33
6/26/2020,103071,0,4999,3
