Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,121,38,14,,2,0,0,42,7
3/7/2020,205,84,44,,2,0,0,86,14
3/8/2020,259,54,19,,2,0,0,53,7
3/9/2020,331,72,5,,2,0,0,76,5
3/10/2020,435,104,14,,2,0,0,103,6
3/11/2020,608,173,22,,2,0,0,176,6
3/12/2020,1026,418,29,,2,0,0,426,7
3/13/2020,1964,938,61,,2,0,0,971,14
3/14/2020,2863,899,73,,2,0,0,920,15
3/15/2020,3892,1029,68,,2,0,0,1057,27
3/16/2020,6036,2144,150,,2,0,0,2217,18
3/17/2020,8715,2679,249,,2,0,0,2762,28
3/18/2020,11694,2979,259,,2,0,0,3069,157
3/19/2020,14595,2901,278,,2,0,0,2996,142
3/20/2020,18237,3642,388,,2,0,0,3752,124
3/21/2020,20769,2532,321,,2,0,0,2603,168
3/22/2020,22664,1895,286,,2,0,0,1944,158
3/23/2020,26448,3784,609,,2,0,0,3895,202
3/24/2020,30439,3991,718,,2,0,0,4114,207
3/25/2020,34539,4100,746,,2,0,0,4215,269
3/26/2020,38955,4416,936,,2,0,0,4538,299
3/27/2020,43318,4363,943,,2,0,0,4473,342
3/28/2020,46118,2800,655,,2,0,0,2871,332
3/29/2020,48186,2068,523,,2,0,0,2155,318
3/30/2020,53235,5049,1238,,2,0,0,5167,416
3/31/2020,58470,5235,1265,,2,0,0,5458,472
4/1/2020,63391,4921,1337,,2,0,0,5113,463
4/2/2020,68605,5214,1278,,5,3,1,5408,597
4/3/2020,74339,5734,1480,,5,0,0,5948,629
4/4/2020,78323,3984,1163,,9,4,1,4060,690
4/5/2020,81740,3417,977,,9,0,0,3574,539
4/6/2020,88397,6657,1932,,13,4,0,6835,779
4/7/2020,94951,6554,2022,,17,4,0,6671,963
4/8/2020,101748,6797,1863,,19,2,0,6998,969
4/9/2020,108177,6429,1978,,41,22,2,6762,1034
4/10/2020,115755,7578,2054,,42,1,1,7797,1055
4/11/2020,120113,4358,1297,,43,1,0,4501,805
4/12/2020,123136,3023,929,,46,3,2,3095,707
4/13/2020,129399,6263,2002,,54,8,0,6358,1126
4/14/2020,139138,9739,2871,,62,8,2,9861,1483
4/15/2020,149050,9912,2599,,72,10,2,10204,1454
4/16/2020,157958,8908,2389,,93,21,0,8994,1712
4/17/2020,169043,11085,3007,,173,80,5,11454,1756
4/18/2020,175078,6035,1481,,181,8,3,6363,1119
4/19/2020,179663,4585,1090,,191,10,1,4665,931
4/20/2020,190432,10769,2695,,255,64,6,11070,1902
4/21/2020,199884,9452,2194,,331,76,11,9713,2112
4/22/2020,212353,12469,2716,,478,147,17,12757,2642
4/23/2020,223135,10782,2407,,952,474,31,10885,2540
4/24/2020,235494,12359,2283,,1850,898,82,12400,2504
4/25/2020,243728,8234,1496,,2337,487,25,8437,1829
4/26/2020,248613,4885,847,,2792,455,36,4800,1407
4/27/2020,259580,10967,2130,,3935,1143,79,10867,2928
4/28/2020,271839,12259,2107,,5358,1423,83,12287,2990
4/29/2020,284466,12627,2190,,7067,1709,105,12597,2921
4/30/2020,298209,13743,2048,,8445,1378,116,13748,3132
5/1/2020,312300,14091,2084,,10222,1777,130,14013,3280
5/2/2020,319559,7259,1031,,10816,594,57,7332,1865
5/3/2020,324651,5092,735,,11220,404,42,5043,1419
5/4/2020,336732,12081,1881,,13240,2020,162,11934,3511
5/5/2020,349364,12632,1738,,15217,1977,157,12458,3558
5/6/2020,362658,13294,1700,,17197,1980,184,13083,3602
5/7/2020,376129,13471,1683,,19265,2068,173,13441,3652
5/8/2020,389432,13303,1460,,21151,1886,136,13250,3693
5/9/2020,395258,5826,684,,21780,629,38,5716,1972
5/10/2020,398418,3160,386,,22134,354,77,3083,1475
5/11/2020,410251,11833,1311,,23977,1843,162,11634,4008
