Date,Total,New,Positive,Missing
1/22/2020,1,1,0,
1/23/2020,2,1,0,
1/24/2020,2,0,0,
1/25/2020,2,0,0,
1/26/2020,2,0,0,
1/27/2020,3,1,0,
1/28/2020,3,0,0,
1/29/2020,4,1,1,
1/30/2020,4,0,0,
1/31/2020,4,0,0,
2/1/2020,4,0,0,
2/2/2020,4,0,0,
2/3/2020,7,3,0,
2/4/2020,9,2,0,
2/5/2020,9,0,0,
2/6/2020,10,1,1,
2/7/2020,10,0,0,
2/8/2020,11,1,0,
2/9/2020,11,0,0,
2/10/2020,11,0,0,
2/11/2020,12,1,0,
2/12/2020,13,1,0,
2/13/2020,13,0,0,
2/14/2020,13,0,0,
2/15/2020,13,0,0,
2/16/2020,13,0,0,
2/17/2020,13,0,0,
2/18/2020,13,0,0,
2/19/2020,13,0,0,
2/20/2020,13,0,0,
2/21/2020,13,0,0,
2/22/2020,13,0,0,
2/23/2020,13,0,0,
2/24/2020,13,0,0,
2/25/2020,13,0,0,
2/26/2020,13,0,0,
2/27/2020,13,0,0,
2/28/2020,14,1,0,
2/29/2020,15,1,0,
3/1/2020,17,2,1,
3/2/2020,20,3,0,
3/3/2020,34,14,1,
3/4/2020,52,18,2,
3/5/2020,85,33,8,
3/6/2020,124,39,14,
3/7/2020,208,84,44,
3/8/2020,262,54,19,
3/9/2020,335,73,5,
3/10/2020,440,105,14,
3/11/2020,614,174,22,
3/12/2020,1032,418,29,
3/13/2020,1975,943,61,
3/14/2020,2878,903,73,
3/15/2020,3913,1035,68,
3/16/2020,6067,2154,150,
3/17/2020,8755,2688,249,
3/18/2020,11753,2998,259,
3/19/2020,14661,2908,278,
3/20/2020,18314,3653,388,
3/21/2020,20851,2537,320,
3/22/2020,22753,1902,286,
3/23/2020,26553,3800,608,
3/24/2020,30565,4012,717,
3/25/2020,34677,4112,744,
3/26/2020,39109,4432,934,
3/27/2020,43497,4388,944,
3/28/2020,46308,2811,655,
3/29/2020,48391,2083,522,
3/30/2020,53464,5073,1236,
3/31/2020,58723,5259,1265,
4/1/2020,63669,4946,1338,
4/2/2020,68926,5257,1280,
4/3/2020,74727,5801,1481,
4/4/2020,78742,4015,1163,
4/5/2020,82190,3448,975,
4/6/2020,88908,6718,1932,
4/7/2020,95539,6631,2030,
4/8/2020,102393,6854,1867,
4/9/2020,108903,6510,1987,
4/10/2020,116585,7682,2063,
4/11/2020,120987,4402,1299,
4/12/2020,124105,3118,929,
4/13/2020,130486,6381,2001,
4/14/2020,140299,9813,2872,
4/15/2020,150354,10055,2600,
4/16/2020,159358,9004,2386,
4/17/2020,170621,11263,3005,
4/18/2020,176767,6146,1486,
4/19/2020,181406,4639,1091,
4/20/2020,192345,10939,2697,
4/21/2020,201924,9579,2201,
4/22/2020,214661,12737,2721,
4/23/2020,225485,10824,2418,
4/24/2020,237835,12350,2276,
4/25/2020,246222,8387,1496,
4/26/2020,251128,4906,845,
4/27/2020,262234,11106,2129,
4/28/2020,274663,12429,2106,
4/29/2020,287412,12749,2182,
4/30/2020,301244,13832,2051,
5/1/2020,315581,14337,2083,
5/2/2020,323045,7464,1041,
5/3/2020,328145,5100,731,
5/4/2020,340427,12282,1877,
5/5/2020,353193,12766,1746,
5/6/2020,366581,13388,1708,
5/7/2020,380057,13476,1688,
5/8/2020,393593,13536,1469,
5/9/2020,399444,5851,691,
5/10/2020,402644,3200,389,
5/11/2020,414561,11917,1314,
5/12/2020,427693,13132,1442,
5/13/2020,441483,13790,1314,
5/14/2020,454395,12912,1295,
5/15/2020,468039,13644,1122,
5/16/2020,475019,6980,653,
5/17/2020,479273,4254,379,115
5/18/2020,492186,12913,1258,1
5/19/2020,503830,11644,1050,0
5/20/2020,513611,9781,827,0
5/21/2020,519068,5457,550,0
5/22/2020,520963,1895,205,0
5/23/2020,520986,23,5,0
