Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,121,38,14,,2,0,0,42,7
3/7/2020,205,84,44,,2,0,0,86,14
3/8/2020,259,54,19,,2,0,0,53,7
3/9/2020,331,72,5,,2,0,0,76,5
3/10/2020,435,104,14,,2,0,0,103,6
3/11/2020,608,173,22,,2,0,0,176,6
3/12/2020,1026,418,29,,2,0,0,426,7
3/13/2020,1964,938,61,,2,0,0,971,14
3/14/2020,2863,899,73,,2,0,0,920,15
3/15/2020,3892,1029,68,,2,0,0,1057,27
3/16/2020,6035,2143,150,,2,0,0,2217,18
3/17/2020,8713,2678,249,,2,0,0,2762,28
3/18/2020,11692,2979,259,,2,0,0,3069,157
3/19/2020,14593,2901,278,,2,0,0,2996,142
3/20/2020,18234,3641,388,,2,0,0,3752,124
3/21/2020,20766,2532,321,,2,0,0,2603,168
3/22/2020,22661,1895,286,,2,0,0,1944,158
3/23/2020,26444,3783,609,,2,0,0,3895,202
3/24/2020,30434,3990,718,,2,0,0,4114,207
3/25/2020,34532,4098,746,,2,0,0,4215,269
3/26/2020,38948,4416,936,,2,0,0,4538,299
3/27/2020,43311,4363,943,,2,0,0,4473,342
3/28/2020,46110,2799,654,,2,0,0,2870,332
3/29/2020,48178,2068,523,,2,0,0,2155,318
3/30/2020,53226,5048,1237,,2,0,0,5167,416
3/31/2020,58462,5236,1266,,2,0,0,5459,472
4/1/2020,63383,4921,1337,,2,0,0,5113,463
4/2/2020,68597,5214,1278,,5,3,1,5408,597
4/3/2020,74328,5731,1480,,5,0,0,5944,629
4/4/2020,78308,3980,1162,,9,4,1,4059,690
4/5/2020,81723,3415,977,,9,0,0,3573,539
4/6/2020,88376,6653,1932,,13,4,0,6831,782
4/7/2020,94928,6552,2022,,17,4,0,6670,964
4/8/2020,101724,6796,1863,,19,2,0,6997,970
4/9/2020,108153,6429,1978,,41,22,2,6761,1035
4/10/2020,115724,7571,2053,,42,1,1,7795,1057
4/11/2020,120081,4357,1297,,43,1,0,4500,806
4/12/2020,123104,3023,929,,46,3,2,3095,707
4/13/2020,129360,6256,2002,,54,8,0,6352,1130
4/14/2020,139094,9734,2871,,62,8,2,9858,1487
4/15/2020,148998,9904,2599,,72,10,2,10202,1456
4/16/2020,157901,8903,2389,,93,21,0,8993,1713
4/17/2020,168978,11077,3006,,173,80,5,11447,1762
4/18/2020,175005,6027,1481,,181,8,3,6355,1126
4/19/2020,179589,4584,1090,,191,10,1,4664,932
4/20/2020,190349,10760,2694,,255,64,6,11066,1905
4/21/2020,199799,9450,2194,,331,76,11,9710,2115
4/22/2020,212260,12461,2716,,478,147,17,12752,2647
4/23/2020,223037,10777,2407,,951,473,31,10884,2541
4/24/2020,235392,12355,2283,,1849,898,82,12398,2506
4/25/2020,243621,8229,1496,,2336,487,25,8433,1833
4/26/2020,248504,4883,847,,2791,455,36,4798,1409
4/27/2020,259465,10961,2130,,3934,1143,79,10864,2932
4/28/2020,271720,12255,2107,,5357,1423,83,12282,2994
4/29/2020,284340,12620,2189,,7066,1709,105,12595,2923
4/30/2020,298081,13741,2048,,8444,1378,116,13746,3133
5/1/2020,312167,14086,2084,,10221,1777,130,14008,3285
5/2/2020,319423,7256,1031,,10815,594,57,7329,1868
5/3/2020,324510,5087,735,,11219,404,42,5039,1422
5/4/2020,336581,12071,1881,,13239,2020,162,11927,3517
5/5/2020,349207,12626,1738,,15216,1977,157,12453,3563
5/6/2020,362498,13291,1700,,17196,1980,184,13079,3606
5/7/2020,375967,13469,1683,,19264,2068,173,13439,3654
5/8/2020,389264,13297,1460,,21150,1886,136,13245,3698
5/9/2020,395088,5824,683,,21779,629,38,5715,1973
5/10/2020,398248,3160,386,,22133,354,77,3083,1475
5/11/2020,410071,11823,1311,,23976,1843,162,11627,4014
