Date,Total,New
1/29/2020,1,1
1/30/2020,1,0
1/31/2020,1,0
2/1/2020,1,0
2/2/2020,1,0
2/3/2020,1,0
2/4/2020,1,0
2/5/2020,1,0
2/6/2020,2,1
2/7/2020,2,0
2/8/2020,2,0
2/9/2020,2,0
2/10/2020,2,0
2/11/2020,2,0
2/12/2020,2,0
2/13/2020,2,0
2/14/2020,2,0
2/15/2020,2,0
2/16/2020,2,0
2/17/2020,2,0
2/18/2020,2,0
2/19/2020,2,0
2/20/2020,2,0
2/21/2020,2,0
2/22/2020,2,0
2/23/2020,2,0
2/24/2020,2,0
2/25/2020,2,0
2/26/2020,2,0
2/27/2020,2,0
2/28/2020,2,0
2/29/2020,2,0
3/1/2020,3,1
3/2/2020,3,0
3/3/2020,4,1
3/4/2020,6,2
3/5/2020,14,8
3/6/2020,27,13
3/7/2020,71,44
3/8/2020,90,19
3/9/2020,95,5
3/10/2020,109,14
3/11/2020,131,22
3/12/2020,160,29
3/13/2020,221,61
3/14/2020,294,73
3/15/2020,362,68
3/16/2020,512,150
3/17/2020,761,249
3/18/2020,1020,259
3/19/2020,1298,278
3/20/2020,1685,387
3/21/2020,2005,320
3/22/2020,2291,286
3/23/2020,2899,608
3/24/2020,3616,717
3/25/2020,4359,743
3/26/2020,5294,935
3/27/2020,6238,944
3/28/2020,6893,655
3/29/2020,7416,523
3/30/2020,8651,1235
3/31/2020,9916,1265
4/1/2020,11254,1338
4/2/2020,12534,1280
4/3/2020,14015,1481
4/4/2020,15178,1163
4/5/2020,16153,975
4/6/2020,18087,1934
4/7/2020,20120,2033
4/8/2020,21990,1870
4/9/2020,23981,1991
4/10/2020,26045,2064
4/11/2020,27346,1301
4/12/2020,28278,932
4/13/2020,30280,2002
4/14/2020,33156,2876
4/15/2020,35758,2602
4/16/2020,38146,2388
4/17/2020,41155,3009
4/18/2020,42641,1486
4/19/2020,43737,1096
4/20/2020,46435,2698
4/21/2020,48638,2203
4/22/2020,51359,2721
4/23/2020,53779,2420
4/24/2020,56059,2280
4/25/2020,57560,1501
4/26/2020,58406,846
4/27/2020,60541,2135
4/28/2020,62650,2109
4/29/2020,64839,2189
4/30/2020,66892,2053
5/1/2020,68975,2083
5/2/2020,70018,1043
5/3/2020,70752,734
5/4/2020,72639,1887
5/5/2020,74394,1755
5/6/2020,76114,1720
5/7/2020,77809,1695
5/8/2020,79285,1476
5/9/2020,79979,694
5/10/2020,80373,394
5/11/2020,81702,1329
5/12/2020,83150,1448
5/13/2020,84475,1325
5/14/2020,85776,1301
5/15/2020,86901,1125
5/16/2020,87557,656
5/17/2020,87939,382
5/18/2020,89120,1181
5/19/2020,89785,665
5/20/2020,90080,295
5/21/2020,90084,4
