Date,Race/Ethnicity,All Cases,Ever Hospitaltized,Deaths
6/1/2020,Non-Hispanic White,26162,3813,2904
6/1/2020,Non-Hispanic Black/African American,8853,987,348
6/1/2020,Hispanic,18331,1290,445
6/1/2020,Non-Hispanic Asian,1875,291,128
6/1/2020,Non-Hispanic Other,4549,571,227
6/1/2020,Unknown/Missing,41035,3000,2983
6/2/2020,Non-Hispanic White,26390,3859,2947
6/2/2020,Non-Hispanic Black/African American,8904,993,349
6/2/2020,Hispanic,18470,1301,451
6/2/2020,Non-Hispanic Asian,1892,296,129
6/2/2020,Non-Hispanic Other,4574,581,228
6/2/2020,Unknown/Missing,40933,3033,2981
6/3/2020,Non-Hispanic White,26941,3897,2992
6/3/2020,Non-Hispanic Black/African American,9209,1013,354
6/3/2020,Hispanic,18691,1313,463
6/3/2020,Non-Hispanic Asian,1931,300,130
6/3/2020,Non-Hispanic Other,4644,595,230
6/3/2020,Unknown/Missing,40176,3033,2983
