Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,122,39,14,,2,0,0,43,7
3/7/2020,206,84,44,,2,0,0,86,14
3/8/2020,260,54,19,,2,0,0,53,7
3/9/2020,333,73,5,,2,0,0,76,5
3/10/2020,438,105,14,,2,0,0,104,6
3/11/2020,611,173,22,,2,0,0,176,6
3/12/2020,1029,418,29,,2,0,0,426,7
3/13/2020,1969,940,61,,2,0,0,972,14
3/14/2020,2868,899,73,,2,0,0,920,15
3/15/2020,3897,1029,68,,2,0,0,1057,27
3/16/2020,6042,2145,150,,2,0,0,2218,18
3/17/2020,8723,2681,249,,2,0,0,2763,28
3/18/2020,11704,2981,259,,2,0,0,3070,157
3/19/2020,14607,2903,278,,2,0,0,2998,142
3/20/2020,18251,3644,388,,2,0,0,3752,124
3/21/2020,20784,2533,321,,2,0,0,2603,168
3/22/2020,22680,1896,286,,2,0,0,1944,158
3/23/2020,26467,3787,609,,2,0,0,3895,202
3/24/2020,30462,3995,718,,2,0,0,4114,207
3/25/2020,34565,4103,746,,2,0,0,4216,269
3/26/2020,38987,4422,936,,2,0,0,4540,299
3/27/2020,43356,4369,943,,2,0,0,4474,342
3/28/2020,46158,2802,655,,2,0,0,2871,332
3/29/2020,48227,2069,523,,2,0,0,2155,318
3/30/2020,53283,5056,1238,,2,0,0,5174,416
3/31/2020,58520,5237,1265,,2,0,0,5459,472
4/1/2020,63443,4923,1337,,2,0,0,5113,463
4/2/2020,68659,5216,1278,,5,3,1,5410,597
4/3/2020,74411,5752,1480,,5,0,0,5961,626
4/4/2020,78402,3991,1163,,9,4,1,4064,690
4/5/2020,81823,3421,976,,9,0,0,3575,538
4/6/2020,88489,6666,1932,,13,4,0,6838,775
4/7/2020,95053,6564,2022,,17,4,0,6679,954
4/8/2020,101855,6802,1864,,19,2,0,7003,965
4/9/2020,108289,6434,1978,,41,22,2,6764,1032
4/10/2020,115875,7586,2054,,41,0,0,7798,1053
4/11/2020,120241,4366,1296,,42,1,0,4505,801
4/12/2020,123307,3066,929,,45,3,2,3133,701
4/13/2020,129642,6335,2004,,53,8,0,6427,1111
4/14/2020,139405,9763,2873,,62,9,2,9881,1468
4/15/2020,149342,9937,2600,,72,10,2,10225,1444
4/16/2020,158258,8916,2389,,93,21,0,8998,1703
4/17/2020,169357,11099,3009,,173,80,5,11461,1751
4/18/2020,175403,6046,1483,,181,8,3,6373,1108
4/19/2020,180001,4598,1090,,191,10,1,4669,926
4/20/2020,190799,10798,2695,,255,64,6,11078,1893
4/21/2020,200267,9468,2195,,331,76,11,9719,2109
4/22/2020,212754,12487,2716,,479,148,17,12766,2631
4/23/2020,223559,10805,2412,,953,474,31,10897,2530
4/24/2020,235923,12364,2283,,1852,899,82,12396,2495
4/25/2020,244177,8254,1497,,2339,487,25,8443,1822
4/26/2020,249067,4890,848,,2794,455,36,4804,1403
4/27/2020,260055,10988,2131,,3938,1144,79,10878,2918
4/28/2020,272332,12277,2108,,5362,1424,83,12294,2984
4/29/2020,284982,12650,2190,,7071,1709,105,12610,2911
4/30/2020,298744,13762,2049,,8449,1378,116,13759,3120
5/1/2020,312860,14116,2085,,10226,1777,130,14030,3265
5/2/2020,320139,7279,1034,,10821,595,57,7343,1855
5/3/2020,325249,5110,735,,11225,404,42,5054,1409
5/4/2020,337371,12122,1885,,13211,1986,162,11968,3478
5/5/2020,350043,12672,1740,,15154,1943,157,12487,3531
5/6/2020,363382,13339,1709,,17086,1932,184,13108,3576
5/7/2020,376886,13504,1687,,19135,2049,173,13470,3623
5/8/2020,390229,13343,1462,,20993,1858,136,13273,3671
5/9/2020,396066,5837,684,,21616,623,38,5724,1962
5/10/2020,399235,3169,386,,21968,352,77,3093,1465
5/11/2020,411111,11876,1317,,23783,1815,162,11654,3992
